step,reward,bottom_target_delta_x,bottom_target_delta_y,bottom_target_delta_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,bottom_height,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,tvc_yaw_angle,tvc_pitch_angle,tvc_yaw_velocity,tvc_pitch_velocity,foot1_contact,foot2_contact,foot3_contact,foot4_contact,main_motor_power,phase_climb,phase_flip,phase_recovery,phase_hover,phase_done,task_flip_progress,task_hover_timer_fraction,phase_target_delta_z,phase,success,fail,fail_reason,phase_bonus,flip_progress,hover_timer,climb_ready_timer,upright_score,rel_dist,linear_speed,angular_speed,joint_speed,height,main_thrust_newton
1,358.35198814583794,0.0006417398108169436,0.0027087596245110035,-3.944924831390381,0.9999924898147583,-0.003787606954574585,0.0008414298645220697,0.00014874115004204214,8.944925308227539,-0.013568255119025707,-0.009972690604627132,0.08842279762029648,-1.136197566986084,0.29790201783180237,0.08477180451154709,0.16792820394039154,-0.17532198131084442,24.49648666381836,-25.280515670776367,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0550751686096191,flip,False,False,,350.0,0.0,0.0,0.0,0.9999700135986337,0.00278373996136505,0.09001190333953324,1.1776573436796518,35.202022967816404,8.944924836820393,35.30394
2,17.11706826085773,0.005900738760828972,0.010216563008725643,-3.947753667831421,0.9998888373374939,-0.013181215152144432,0.00680582644417882,0.0014929765602573752,8.94775390625,-0.14285916090011597,-0.10567452013492584,0.2313474416732788,-0.9993380308151245,1.2868672609329224,0.08285021781921387,0.47844213247299194,-0.6591929197311401,6.888800144195557,-17.55755615234375,0.0,0.0,0.0,0.0,0.9999878406524658,0.0,1.0,0.0,0.0,0.0,0.003276980482041836,0.0,1.0522464513778687,flip,False,False,,0.0,0.003276980553194491,0.0,0.0,0.9995594772362214,0.01179817269290719,0.2917147361625797,1.6314312745641555,18.860630369022825,8.947753598529731,35.30351072712421
3,44.77562399132899,0.02163791097700596,0.016819549724459648,-3.952605962753296,0.9995507001876831,-0.018799610435962677,0.023320026695728302,0.001064466079697013,8.952606201171875,-0.3644416332244873,-0.21290627121925354,0.31360501050949097,-0.3663046360015869,2.873588800430298,-0.1142742708325386,0.320569783449173,-0.7953381538391113,-26.403017044067383,-3.389925718307495,0.0,0.0,0.0,0.0,0.999793529510498,0.0,1.0,0.0,0.0,0.0,0.010594514198601246,0.0,1.047394037246704,flip,False,False,,0.0,0.010594514364802724,0.0,0.0,0.9982048849819756,0.027406140063329015,0.5258278204008233,2.899094743003497,26.619746953346326,8.95260594160321,35.29665077822685
4,62.752949390864714,0.04993060976266861,0.024733973667025566,-3.960110664367676,0.9983170628547668,-0.024838034063577652,0.05239848792552948,-0.0007024174556136131,8.960110664367676,-0.5938137173652649,-0.23440459370613098,0.40836986899375916,-1.3099565505981445,4.373832702636719,-0.19801227748394012,-0.025114821270108223,-0.8215646743774414,-9.15431022644043,-0.5308459997177124,0.0,0.0,0.0,0.0,0.9997953176498413,0.0,1.0,0.0,0.0,0.0,0.02173238806426525,0.0,1.0398893356323242,flip,False,False,,0.0,0.021732387340872905,0.0,0.0,0.9932756487243021,0.05572104689571396,0.7578431021209439,4.570077191772094,9.169689099092999,8.960110689561963,35.29671390659094
5,76.05405059669542,0.08940659463405609,0.03338265046477318,-3.971907615661621,0.9951880574226379,-0.03238219767808914,0.0924314484000206,-0.0029326952062547207,8.971907615661621,-0.8093893527984619,-0.1997872292995453,0.5147473812103271,-0.22051109373569489,5.634182453155518,-0.22657984495162964,-0.23837117850780487,-0.8234986662864685,-24.717506408691406,0.11743836849927902,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03607971593737602,0.0,1.028092384338379,flip,False,False,,0.0,0.03607971514745781,0.0,0.0,0.9808146995204042,0.09543553112207588,0.979791274324352,5.643046650491053,24.717784593569363,8.97190759356013,35.30394
6,89.75636798226314,0.13799850642681122,0.035876043140888214,-3.9891340732574463,0.9893791675567627,-0.03336626663804054,0.14131687581539154,-0.006711914669722319,8.989133834838867,-1.0050305128097534,-0.09087415784597397,0.6162427067756653,-0.22659578919410706,6.662583827972412,-0.29888245463371277,-0.5421555638313293,-0.8206712603569031,-6.223167419433594,0.19538161158561707,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0530458465218544,0.0,1.0108659267425537,flip,False,False,,0.0,0.05304584576632682,0.0,0.0,0.957833404312957,0.14258568414587147,1.1824126345121246,6.673132755935867,6.226233757483791,8.989134070321299,35.30394
7,96.24478950846327,0.19345420598983765,0.037341147661209106,-4.0133843421936035,0.9796457886695862,-0.03630097955465317,0.19718985259532928,-0.009618927724659443,9.013384819030762,-1.174141526222229,0.046140119433403015,0.7239385843276978,-0.5984896421432495,7.498970985412598,-0.02086729370057583,-0.3776147663593292,-0.8178478479385376,26.70840835571289,0.1513945460319519,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07214181870222092,0.0,0.9866154789924622,flip,False,False,,0.0,0.07214181876699202,0.0,0.0,0.9195980275296793,0.19702510450436378,1.3801537296895927,7.522844693806491,26.708837377271294,9.013384501621898,35.30394
8,105.1590776885166,0.25321489572525024,0.03472627326846123,-4.045889377593994,0.9653330445289612,-0.035930927842855453,0.2583163380622864,-0.010663461871445179,9.045889854431152,-1.2987831830978394,0.11364033818244934,0.8767620325088501,0.6330205798149109,8.173210144042969,0.2529209852218628,-0.02747325226664543,-0.8158533573150635,9.415666580200195,0.09976179897785187,0.0,0.0,0.0,0.0,0.9999996423721313,0.0,1.0,0.0,0.0,0.0,0.09295472502708435,0.0,0.9541105031967163,flip,False,False,,0.0,0.09295472762336514,0.0,0.0,0.8639622127152818,0.25558499899209836,1.5711344992994358,8.20158819648961,9.416195520813046,9.045889524507338,35.30392737432718
9,110.10668107924151,0.3145454525947571,0.028561238199472427,-4.087795734405518,0.9457951188087463,-0.031562983989715576,0.3230147659778595,-0.011697134003043175,9.08779525756836,-1.3788291215896606,0.1291908621788025,1.0516676902770996,-0.22090889513492584,8.71792984008789,0.3367505967617035,0.18979798257350922,-0.8145790100097656,24.95888900756836,0.06203177943825722,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.11515475809574127,0.0,0.9122044444084167,flip,False,False,,0.0,0.11515475475435828,0.0,0.0,0.7893314868432223,0.3158394965271072,1.738926355407205,8.727228073741683,24.958966717896114,9.087795580836856,35.30394
10,115.56945529487798,0.37482166290283203,0.02861281856894493,-4.140077590942383,0.9201326966285706,-0.034500569105148315,0.38999414443969727,-0.008372446522116661,9.140077590942383,-1.426293969154358,0.0584474615752697,1.2244433164596558,-0.5245856642723083,9.156861305236816,0.6020955443382263,0.6632341146469116,-0.8137927055358887,16.985334396362305,0.03809893876314163,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1384725123643875,0.0,0.8599222898483276,flip,False,False,,0.0,0.13847251100980856,0.0,0.0,0.6934281479963279,0.3759121913932114,1.8806892420676704,9.191616891396052,16.985376963192646,9.140077682650292,35.30394
11,121.26103197725871,0.43175995349884033,0.03063606470823288,-4.201889514923096,0.8882500529289246,-0.03747375309467316,0.4578053653240204,-0.004675239324569702,9.201889038085938,-1.4537630081176758,-0.0784403383731842,1.3794670104980469,-1.125307559967041,9.52015495300293,0.43549713492393494,0.7903949022293091,-0.813317060470581,2.7800562381744385,0.022538311779499054,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1627153903245926,0.0,0.7981105446815491,flip,False,False,,0.0,0.16271538643222036,0.0,0.0,0.5780198403353012,0.4328454997073703,2.0056193326330356,9.596318276143732,2.780147541468249,9.201889433812381,35.30394
12,123.01027629808387,0.4829532504081726,0.03974611684679985,-4.272824287414551,0.8496469259262085,-0.04724027216434479,0.5252311825752258,0.0008311684359796345,9.27282428741455,-1.440633773803711,-0.22313548624515533,1.5312803983688354,-2.104067325592041,9.819376945495605,0.23782214522361755,0.7963534593582153,-0.8130390048027039,-1.6100983619689941,0.013037457130849361,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.18772022426128387,0.0,0.7271758317947388,flip,False,False,,0.0,0.1877202243596711,0.0,0.0,0.443801115470972,0.4845860102962358,2.114245608850208,10.045089412603335,1.6101511484264754,9.272824179282189,35.30394
13,123.97173612847287,0.525722861289978,0.05591946095228195,-4.351985454559326,0.8040660619735718,-0.06395260244607925,0.591020941734314,0.009057917632162571,9.351985931396484,-1.3739666938781738,-0.35817092657089233,1.6804176568984985,-3.036491870880127,10.061726570129395,0.09093961864709854,0.7596637010574341,-0.8128789663314819,-2.488687753677368,0.00748824467882514,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.21334220468997955,0.0,0.6480144262313843,flip,False,False,,0.0,0.213342201673692,0.0,0.0,0.2932085520571588,0.5286884671028268,2.1999714102390557,10.5103235896178,2.4886989930730827,9.35198557453804,35.30394
14,124.88809931396669,0.5573970079421997,0.07766703516244888,-4.437957286834717,0.751374363899231,-0.08613164722919464,0.6539163589477539,0.020280366763472557,9.437957763671875,-1.2489798069000244,-0.474950909614563,1.8188096284866333,-3.7430872917175293,10.256246566772461,0.0009254314354620874,0.7137171030044556,-0.8127868175506592,-3.4572949409484863,0.004311820957809687,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23945951461791992,0.0,0.5620425343513489,flip,False,False,,0.0,0.23945951940729812,0.0,0.0,0.1299494753127834,0.5627820050553233,2.2568999894489434,10.917934789548735,3.4572976519174627,9.43795747948414,35.30394
